number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_weight,params_subsample,system_attrs_grid_id,system_attrs_search_space,state
30,0.7521698020149744,2025-01-09 18:23:15.812273,2025-01-09 18:23:21.005232,0 days 00:00:05.192959,0.6,0.3,3,1,0.8,30,"{'colsample_bytree': [0.6, 0.8, 1.0], 'learning_rate': [0.01, 0.1, 0.3], 'max_depth': [3, 5, 7], 'min_child_weight': [1, 3, 5], 'subsample': [0.6, 0.8, 1.0]}",COMPLETE
31,0.7472016352422012,2025-01-09 18:23:21.005471,2025-01-09 18:23:31.938295,0 days 00:00:10.932824,0.6,0.1,5,5,1.0,31,"{'colsample_bytree': [0.6, 0.8, 1.0], 'learning_rate': [0.01, 0.1, 0.3], 'max_depth': [3, 5, 7], 'min_child_weight': [1, 3, 5], 'subsample': [0.6, 0.8, 1.0]}",COMPLETE
32,0.7015817605190636,2025-01-09 18:23:31.938565,2025-01-09 18:24:02.877117,0 days 00:00:30.938552,0.8,0.01,7,1,1.0,32,"{'colsample_bytree': [0.6, 0.8, 1.0], 'learning_rate': [0.01, 0.1, 0.3], 'max_depth': [3, 5, 7], 'min_child_weight': [1, 3, 5], 'subsample': [0.6, 0.8, 1.0]}",COMPLETE
33,0.661279041960724,2025-01-09 18:24:02.877448,2025-01-09 18:24:08.366723,0 days 00:00:05.489275,0.8,0.01,3,1,1.0,33,"{'colsample_bytree': [0.6, 0.8, 1.0], 'learning_rate': [0.01, 0.1, 0.3], 'max_depth': [3, 5, 7], 'min_child_weight': [1, 3, 5], 'subsample': [0.6, 0.8, 1.0]}",COMPLETE
34,0.7456625621617468,2025-01-09 18:24:08.366958,2025-01-09 18:24:21.622380,0 days 00:00:13.255422,0.8,0.1,5,1,0.8,34,"{'colsample_bytree': [0.6, 0.8, 1.0], 'learning_rate': [0.01, 0.1, 0.3], 'max_depth': [3, 5, 7], 'min_child_weight': [1, 3, 5], 'subsample': [0.6, 0.8, 1.0]}",COMPLETE
35,0.7481808028420435,2025-01-09 18:24:21.622672,2025-01-09 18:24:33.102259,0 days 00:00:11.479587,0.6,0.3,5,1,0.6,35,"{'colsample_bytree': [0.6, 0.8, 1.0], 'learning_rate': [0.01, 0.1, 0.3], 'max_depth': [3, 5, 7], 'min_child_weight': [1, 3, 5], 'subsample': [0.6, 0.8, 1.0]}",COMPLETE
36,0.6644974153783945,2025-01-09 18:24:33.102499,2025-01-09 18:24:39.019169,0 days 00:00:05.916670,1.0,0.01,3,1,0.6,36,"{'colsample_bytree': [0.6, 0.8, 1.0], 'learning_rate': [0.01, 0.1, 0.3], 'max_depth': [3, 5, 7], 'min_child_weight': [1, 3, 5], 'subsample': [0.6, 0.8, 1.0]}",COMPLETE
37,0.685418592680328,2025-01-09 18:24:39.019404,2025-01-09 18:24:53.179776,0 days 00:00:14.160372,1.0,0.01,5,1,1.0,37,"{'colsample_bytree': [0.6, 0.8, 1.0], 'learning_rate': [0.01, 0.1, 0.3], 'max_depth': [3, 5, 7], 'min_child_weight': [1, 3, 5], 'subsample': [0.6, 0.8, 1.0]}",COMPLETE
38,0.7490207712083017,2025-01-09 18:24:53.180014,2025-01-09 18:25:06.968935,0 days 00:00:13.788921,1.0,0.1,5,5,0.8,38,"{'colsample_bytree': [0.6, 0.8, 1.0], 'learning_rate': [0.01, 0.1, 0.3], 'max_depth': [3, 5, 7], 'min_child_weight': [1, 3, 5], 'subsample': [0.6, 0.8, 1.0]}",COMPLETE
39,0.7437728842242745,2025-01-09 18:25:06.969185,2025-01-09 18:25:30.939693,0 days 00:00:23.970508,0.8,0.1,7,5,1.0,39,"{'colsample_bytree': [0.6, 0.8, 1.0], 'learning_rate': [0.01, 0.1, 0.3], 'max_depth': [3, 5, 7], 'min_child_weight': [1, 3, 5], 'subsample': [0.6, 0.8, 1.0]}",COMPLETE
40,0.7479713553579956,2025-01-09 18:25:30.940002,2025-01-09 18:25:43.740199,0 days 00:00:12.800197,0.8,0.3,5,1,1.0,40,"{'colsample_bytree': [0.6, 0.8, 1.0], 'learning_rate': [0.01, 0.1, 0.3], 'max_depth': [3, 5, 7], 'min_child_weight': [1, 3, 5], 'subsample': [0.6, 0.8, 1.0]}",COMPLETE
41,0.7481808762722705,2025-01-09 18:25:43.740442,2025-01-09 18:26:08.635958,0 days 00:00:24.895516,0.6,0.1,7,1,0.6,41,"{'colsample_bytree': [0.6, 0.8, 1.0], 'learning_rate': [0.01, 0.1, 0.3], 'max_depth': [3, 5, 7], 'min_child_weight': [1, 3, 5], 'subsample': [0.6, 0.8, 1.0]}",COMPLETE
42,0.7059199938514423,2025-01-09 18:26:08.636285,2025-01-09 18:26:33.425010,0 days 00:00:24.788725,0.8,0.01,7,5,0.8,42,"{'colsample_bytree': [0.6, 0.8, 1.0], 'learning_rate': [0.01, 0.1, 0.3], 'max_depth': [3, 5, 7], 'min_child_weight': [1, 3, 5], 'subsample': [0.6, 0.8, 1.0]}",COMPLETE
